nome;mde_fonte;potencia_MW;V_submerso_hm3;V_deplec_1m_hm3;V_deplec_2m_hm3;V_deplec_3m_hm3;V_deplec_5m_hm3;V_deplec_8m_hm3;V_deplec_10m_hm3;V_deplec_15m_hm3
14 de Julho;mdr.tif;100,0;91,2;6,0;11,9;17,6;28,5;43,6;52,7;70,3
Serra dos Cavalinhos II;mdr.tif;29,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Serra dos Cavalinhos I;mdr.tif;25,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Passo do Meio;mdr.tif;30,0;3,2;0,6;1,1;1,5;2,1;2,5;2,5;2,4
Pezzi;mdr.tif;19,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
São Paulo;mdr.tif;16,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
