nome;potencia_MW;area_drenagem_km2;cota_NA_atual_m;area_espelho_atual_km2;altura_cenario_m;volume_limite_upper_hm3;percentual_do_necessario;custo_baixo_MRS;custo_base_MRS;custo_alto_MRS
Foz do Prata;49,4;3763.8;171.5;0,01;2;0,0;0,0;0,0;0,0;0,0
Foz do Prata;49,4;3763.8;171.5;0,01;3;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Foz do Prata;49,4;3763.8;171.5;0,01;5;0,2;0,006191950464396285;0,2829415399011469;0,5766590389016018;1,0436270957747182
Foz do Prata;49,4;3763.8;171.5;0,01;8;0,5;0,015479876160990712;0,7073538497528672;1,4416475972540044;2,609067739436796
Foz do Prata;49,4;3763.8;171.5;0,01;10;0,8;0,02476780185758514;1,1317661596045876;2,306636155606407;4,174508383098873
Foz do Prata;49,4;3763.8;171.5;0,01;15;2,2;0,06811145510835914;3,112356938912616;6,34324942791762;11,479898053521902
Foz do Prata;49,4;3763.8;171.5;0,01;20;4,5;0,1393188854489164;6,366184647775805;12,97482837528604;23,48160965493116
Jararaca;28,0;3651.3;251.5;0,09;1;0,0;0,0;0,0;0,0;0,0
Jararaca;28,0;3651.3;251.5;0,09;2;0,3;0,009287925696594427;0,4244123098517203;0,8649885583524026;1,5654406436620774
Jararaca;28,0;3651.3;251.5;0,09;3;0,9;0,02786377708978328;1,273236929555161;2,594965675057208;4,696321930986232
Jararaca;28,0;3651.3;251.5;0,09;5;2,1;0,06501547987616099;2,9708861689620423;6,054919908466819;10,958084505634542
Jararaca;28,0;3651.3;251.5;0,09;8;3,9;0,12074303405572756;5,517360028072364;11,244851258581233;20,350728367607005
Jararaca;28,0;3651.3;251.5;0,09;10;5,3;0,16408668730650156;7,497950807380391;15,281464530892446;27,65611803803003
Jararaca;28,0;3651.3;251.5;0,09;15;9,0;0,2786377708978328;12,73236929555161;25,94965675057208;46,96321930986232
Jararaca;28,0;3651.3;251.5;0,09;20;13,6;0,42105263157894735;19,240024713277986;39,21281464530892;70,96664251268083
Da Ilha;26,0;3613.2;293.0;1,22;1;1,2;0,03715170278637771;1,6976492394068812;3,4599542334096105;6,261762574648309
Da Ilha;26,0;3613.2;293.0;1,22;2;2,4;0,07430340557275542;3,3952984788137623;6,919908466819221;12,523525149296619
Da Ilha;26,0;3613.2;293.0;1,22;3;3,8;0,11764705882352941;5,3758892581217905;10,956521739130432;19,828914819719646
Da Ilha;26,0;3613.2;293.0;1,22;5;6,9;0,21362229102167182;9,761483126589567;19,89473684210526;36,00513480422778
Da Ilha;26,0;3613.2;293.0;1,22;8;12,8;0,39628482972136225;18,1082585536734;36,90617848970251;66,79213412958197
Da Ilha;26,0;3613.2;293.0;1,22;10;17,3;0,5356037151702786;24,47444320144921;49,88100686498856;90,27374378451313
Da Ilha;26,0;3613.2;293.0;1,22;15;30,2;0,934984520123839;42,72417252507318;87,07551487414186;157,58769146198244
Da Ilha;26,0;3613.2;293.0;1,22;20;45,7;1,414860681114551;64,65214186741207;131,76659038901602;238,46879138452314
Passo do Meio;30,0;3378.8;530.0;0,98;1;0,6;0,018575851393188854;0,8488246197034406;1,7299771167048053;3,1308812873241547
Passo do Meio;30,0;3378.8;530.0;0,98;2;1,7;0,05263157894736842;2,4050030891597483;4,901601830663615;8,870830314085104
Passo do Meio;30,0;3378.8;530.0;0,98;3;3,0;0,09287925696594428;4,244123098517203;8,649885583524027;15,654406436620775
Passo do Meio;30,0;3378.8;530.0;0,98;5;6,3;0,19504643962848298;8,912658506886126;18,164759725400454;32,87425351690362
Passo do Meio;30,0;3378.8;530.0;0,98;8;11,6;0,3591331269349845;16,41060931426652;33,4462242562929;60,53037155493365
Passo do Meio;30,0;3378.8;530.0;0,98;10;15,4;0,47678018575851394;21,78649857238831;44,40274599542334;80,35928637465331
Passo do Meio;30,0;3378.8;530.0;0,98;15;26,4;0,8173374613003096;37,348283266951384;76,11899313501142;137,7587766422628
Passo do Meio;30,0;3378.8;530.0;0,98;20;40,3;1,2476780185758511;57,01272029008109;116,19679633867274;210,2908597986057
Cotiporã;19,5;2298.3;137.0;0,03;1;0,0;0,0;0,0;0,0;0,0
Cotiporã;19,5;2298.3;137.0;0,03;2;0,0;0,0;0,0;0,0;0,0
Cotiporã;19,5;2298.3;137.0;0,03;3;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Cotiporã;19,5;2298.3;137.0;0,03;5;0,4;0,01238390092879257;0,5658830798022938;1,1533180778032035;2,0872541915494365
Cotiporã;19,5;2298.3;137.0;0,03;8;1,0;0,030959752321981424;1,4147076995057344;2,8832951945080088;5,218135478873592
Cotiporã;19,5;2298.3;137.0;0,03;10;1,6;0,04953560371517028;2,263532319209175;4,613272311212814;8,349016766197746
Cotiporã;19,5;2298.3;137.0;0,03;15;3,5;0,10835913312693499;4,95147694827007;10,09153318077803;18,26347417605757
Cotiporã;19,5;2298.3;137.0;0,03;20;5,7;0,17647058823529413;8,063833887182685;16,43478260869565;29,74337222957947
Linha Emília;19,5;2289.7;180.0;0,67;1;0,2;0,006191950464396285;0,2829415399011469;0,5766590389016018;1,0436270957747182
Linha Emília;19,5;2289.7;180.0;0,67;2;0,9;0,02786377708978328;1,273236929555161;2,594965675057208;4,696321930986232
Linha Emília;19,5;2289.7;180.0;0,67;3;1,8;0,05572755417956656;2,546473859110322;5,189931350114416;9,392643861972465
Linha Emília;19,5;2289.7;180.0;0,67;5;3,7;0,11455108359133127;5,234418488171218;10,668192219679632;19,307101271832288
Linha Emília;19,5;2289.7;180.0;0,67;8;6,8;0,21052631578947367;9,620012356638993;19,60640732265446;35,48332125634042
