cenario;tempo_h;Q_natural_Estrela_m3s;Q_resultante_Estrela_m3s;Q_fora_E12_m3s
C01;86,0;12570,085480544294;8423,991787415325;2379,651676208802
C01;87,0;12325,627540274778;8339,41519202747;2333,3731725164216
C01;88,0;12081,610039592584;8253,201902598872;2287,178048750444
C01;89,0;11838,315881694916;8165,523061290728;2241,119861513047
C01;90,0;11596,011420680552;8076,544780677303;2195,249034485008
C01;91,0;11354,946883802193;7986,427982254581;2149,6129383625944
C01;92,0;11115,356810331023;7895,328264144504;2104,255973939312
C01;93,0;10877,460504064298;7803,395796216284;2059,219657770442
C01;94,0;10641,462496732905;7710,7752408647175;2014,5427099010508
C01;95,0;10407,553019780918;7617,605697713876;1970,2611431788955
C01;96,0;10175,908482193263;7524,020670551509;1926,4083537123272
C01;97,0;9946,691952241494;7430,148054843491;1883,015212069914
C01;98,0;9720,053641200731;7336,1101442273275;1840,1101548532367
C01;99,0;9496,131387263933;7242,023654438012;1797,719276307034
C01;100,0;9275,051138042878;7147,999763177462;1755,8664196618006
C01;101,0;9056,927430198797;7054,144164499228;1714,5732679330054
C01;102,0;8841,86386489006;6960,557136342737;1673,8594339284155
C01;103,0;8629,9535778596;6867,3336199149935;1633,7425492406844
C01;104,0;8421,279703111732;6774,56330968197;1594,2383520263274
C01;105,0;8215,915829246442;6682,330752796466;1555,3607733946892
C01;106,0;8013,926447629981;6590,715456853255;1517,1220222514332
C01;107,0;7815,367391683663;6499,792004925881;1479,5326684606075
C01;108,0;7620,286266668487;6409,630176901763;1442,6017242074772
C01;109,0;7428,722869432374;6320,295076193555;1406,3367234611633
C01;110,0;7240,709597669003;6231,8472609641485;1370,743799451722
C01;111,0;7056,271848313505;6144,342879060736;1335,8277600907081
C01;112,0;6875,4284047705205;6057,83380590941;1301,5921612775967
C01;113,0;6698,191812734795;5972,3677846757755;1268,0393780466347
C01;114,0;6524,568744423784;5887,988568049239;1235,1706735199793
C01;115,0;6354,560351096319;5804,736061058462;1202,986265643244
C01;116,0;6188,16260378078;5722,646464373309;1171,4853916889929
C01;117,0;6025,366622181742;5641,7524175942035;1140,6663705222857
C01;118,0;5866,158991774946;5562,0831420731965;1110,5266626301516
C01;119,0;5710,522069137749;5483,664582852356;1081,062927923906
C01;120,0;5558,434275595607;5406,519549344111;1052,271081329576
C01;121,0;5409,8703792953265;5330,66785441518;1024,1463461873798
C01;122,0;5264,801765842645;5256,126451570616;996,683305486322
C01;123,0;5123,196697665593;5182,909569967298;969,87595096445
C01;124,0;4985,020562286258;5111,028847017101;943,717730109356
C01;125,0;4850,2361097020075;5040,493458368922;918,2015910969815
C01;126,0;4718,803679093444;4971,3102450857905;893,3200257098604
C01;127,0;4590,681415090194;4903,483837858609;869,0651102785451
C01;128,0;4465,825473837498;4837,016778121604;845,4285446922204
C01;129,0;4344,190219116528;4771,909635956468;822,4016895263701
C01;130,0;4225,728408779472;4708,161124692521;799,9756013369455
C01;131,0;4110,391371767103;4645,768212128924;778,1410661716708
C01;132,0;3998,1291759815035;4584,7262283224345;756,8886313501611
C01;133,0;3888,89078729056;4525,028969900054;736,20863556516
C01;134,0;3782,6242199430408;4466,668800870648;716,0912373577356
C01;135,0;3679,2766786748284;4409,636749922979;696,5264420195007
C01;136,0;3578,794692786816;4353,9226042098935;677,5041269750021
C01;137,0;3481,1242424748207;4299,514999629458;659,0140656973164
C01;138,0;3386,2108776900404;4246,401507624006;641,0459502096136
C01;139,0;3293,999829806812;4194,568718527093;623,5894122250533
C01;140,0;3204,436116371253;4144,002321496566;606,6340429768248
C01;141,0;3117,4646392012028;4094,6871810792654;590,1694117895197
C01;142,0;3033,0302761037456;4046,607410459318;574,1850834422322
C01;143,0;2951,0779664722363;3999,7464414478154;558,6706343730003
C01;144,0;2871,5527910199085;3954,087091276573;543,6156677732232
C01;145,0;2794,400045901934;3909,6116262631613;529,0098276197683
C01;146,0;2719,5653114723345;3866,301822418025;514,8428116913826
C01;147,0;2646,9945159163603;3824,139023067818;501,10438361498905
C01;148,0;2576,633993993015;3783,1041935716094;487,78438398626986
C01;149,0;2508,430541116255;3743,1779732089235;474,8727406078211
C01;150,0;2442,3314629971082;3704,340724320156;462,35947788693164
C01;151,0;2378,284621062581;3666,572578781357;450,234725433874
C01;152,0;2316,238473860795;3629,853481896175;438,4887259003339
C01;153,0;2256,1421146551793;3594,16323378845;427,1118420963987
C01;154,0;2197,9453054042197;3559,4815283791404;416,09456342328195
C01;155,0;2141,598507316485;3525,787990031268;405,4275116577227
