cenario;eixos;altura_m;area_ctrl_km2;pct_bacia;V_util_hm3;pico_sem;pico_com;reducao_pct;saturou
K1 — B1 60 m convencional;B1;60;15457;79,5;775;18000;17551;2,5;FALSE
K2 — B1 80 m convencional;B1;80;15457;79,5;1242;18000;16753;6,9;FALSE
K3 — B1 80 m SECA;B1;80;15457;79,5;1600;18000;13788;23,4;TRUE
K4 — B1 100 m SECA;B1;100;15457;79,5;2068;18000;8377;53,5;FALSE
K5 — B3 80 m SECA;B3;80;12774;65,7;970;18000;16043;10,9;TRUE
K6 — B3 100 m SECA;B3;100;12774;65,7;1390;18000;10969;39,1;FALSE
K7 — B2 80 m SECA;B2;80;2562;13,2;281;18000;16576;7,9;FALSE
K8 — B3 100 m + B2 80 m SECAS;B3+B2;100/80;15336;78,9;1887;18000;8763;51,3;FALSE
