evento_guapore;pico_guapore_total_m3s;eixos_antas;eixos_forqueta;regra_operativa;defasagem_guapore_h;altura_gu1_m;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_4000_m3s;area_controlada_antas_km2;area_controlada_gu1_km2;area_controlada_forqueta_km2;volume_gu1_hm3;volume_antas_hm3;volume_forqueta_hm3;volume_total_hm3;reservatorio_saturou;observacao
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;0;70,0;12362,3;12465,1;-0,83;8465,1;0,0;1993,7;2204,2;140,1;0,0;89,7;229,8;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;0;100,0;12362,3;11987,8;3,03;7987,8;0,0;1993,7;2204,2;372,0;0,0;89,7;461,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;0;120,0;12362,3;11987,8;3,03;7987,8;0,0;1993,7;2204,2;372,0;0,0;89,7;461,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;0;0,0;11684,7;7037,6;39,77;3037,6;15759,8;0,0;0,0;0,0;2337,7;0,0;2337,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;0;30,0;11684,7;7055,7;39,62;3055,7;15759,8;1993,7;0,0;21,7;2337,7;0,0;2359,4;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;0;50,0;11684,7;7055,7;39,62;3055,7;15759,8;1993,7;0,0;87,2;2337,7;0,0;2424,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;0;70,0;11684,7;6797,3;41,83;2797,3;15759,8;1993,7;0,0;223,9;2337,7;0,0;2561,6;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;0;100,0;11684,7;4531,9;61,22;531,9;15759,8;1993,7;0,0;377,3;2337,7;0,0;2715,0;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;0;120,0;11684,7;4531,9;61,22;531,9;15759,8;1993,7;0,0;378,9;2337,7;0,0;2716,6;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;comportas;0;0,0;11684,7;8568,2;26,67;4568,2;15759,8;0,0;0,0;0,0;2096,9;0,0;2096,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
