recorte;Nome_Municipio;eventos_atlas;mortos;feridos;enfermos;desabrigados;desalojados;desaparecidos;afetados_diretos;outros_afetados;danos_materiais;prejuizo_publico;prejuizo_privado;prejuizo_total;danos_economicos_atlas
historico_hidrologico;Colinas;11;2,0;31,0;7,0;173,0;948,0;0,0;1161,0;7624,0;11152637,65;642712,3;25412853,24;26055565,54;37208203,19
historico_hidrologico;Arroio do Meio;14;0,0;40,0;0,0;1802,0;13148,0;1,0;14991,0;43590,0;58138133,73;8737808,74;303591704,44;312329513,16999996;370467646,9
historico_hidrologico;Cruzeiro do Sul;12;4,0;10,0;2,0;1509,0;11630,0;1,0;13156,0;19981,0;209663533,81;9768769,36;88268803,57;98037572,93;307701106,74
historico_hidrologico;Lajeado;23;1,0;2,0;2,0;3400,0;6771,0;0,0;10176,0;73713,0;148960776,34;25157552,68;16116053,52;41273606,21;190234382,55
historico_hidrologico;Estrela;20;4,0;311,0;727,0;3455,0;13000,0;0,0;17497,0;56431,0;119413239,82000001;17222161,82;143526211,07;160748372,88;280161612,7
historico_hidrologico;Bom Retiro do Sul;13;0,0;172,0;76,0;201,0;1748,0;0,0;2197,0;13058,0;30456500,619999997;6077458,71;21670661,84;27748120,55;58204621,17
historico_hidrologico;Fazenda Vilanova;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
historico_hidrologico;Taquari;11;0,0;5,0;36,0;665,0;1455,0;0,0;2161,0;9850,0;37302215,53;3709685,0;39019415,86;42729100,86;80031316,39
historico_hidrologico;Venâncio Aires;16;2,0;10,0;3,0;2510,0;15586,0;0,0;18111,0;14206,0;32220501,64;10071970,59;104871383,64;114943354,23;147163855,87
historico_hidrologico;Mato Leitão;4;0,0;0,0;0,0;0,0;20,0;0,0;20,0;4658,0;1604509,82;234891,04;5715957,51;5950848,56;7555358,38
historico_hidrologico;Santa Clara do Sul;5;0,0;1,0;0,0;0,0;65,0;0,0;66,0;4027,0;1846797,19;11281,64;745941,75;757223,3899999999;2604020,58
historico_hidrologico;Marques de Souza;7;0,0;15,0;9,0;62,0;718,0;0,0;804,0;4257,0;15936143,75;2399424,15;12966818,96;15366243,12;31302386,869999997
historico_hidrologico;Travesseiro;2;0,0;0,0;0,0;22,0;233,0;0,0;255,0;4451,0;126696,96;1445486,16;16217937,11;17663423,27;17790120,23
historico_hidrologico;Capitão;1;0,0;0,0;0,0;0,0;50,0;0,0;50,0;2871,0;1383108,44;1689081,59;12293300,11;13982381,7;15365490,139999999
historico_hidrologico;Bom Princípio;10;0,0;0,0;0,0;4,0;179,0;0,0;183,0;28751,0;81788696,44;15138890,780000001;128833401,27;143972292,06;225760988,5
historico_hidrologico;Sério;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2281,0;651811,02;0,0;8038645,069999999;8038645,069999999;8690456,09
