alternativa_antas;eixos_antas;cenario_forqueta;eixos_forqueta;regra_operativa;fisicamente_admissivel;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_preliminar_m3s;razao_limiar_preliminar;reducao_em_relacao_evento_2023_pct;area_controlada_antas_km2;area_controlada_forqueta_km2;volume_usado_antas_hm3;volume_usado_forqueta_hm3;volume_usado_total_hm3;algum_reservatorio_saturou;observacao
ALT-B;E02+E04+E01;FQ2;FQ2;convencional;True;16903,1;15831,5;6,34;11831,5;3,958;8,28;13637,5;2204,2;423,6;16,6;440,2;True;
ALT-B;E02+E04+E01;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;9603,6;43,18;5603,6;2,401;44,36;13637,5;2350,1;1840,1;229,5;2069,6;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-B;E02+E04+E01;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;9995,4;40,87;5995,4;2,499;42,09;13637,5;2350,1;1666,6;223,5;1890,1;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-B;E02+E04+E01;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;15842,4;6,27;11842,4;3,961;8,22;13637,5;2350,1;423,6;44,4;467,9;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-C;E02+E04+E05;SEM_FORQUETA;-;seca;True;16903,1;9595,3;43,23;5595,3;2,399;44,41;11514,0;0,0;1726,0;0,0;1726,0;False;
ALT-C;E02+E04+E05;SEM_FORQUETA;-;comportas;True;16903,1;9721,4;42,49;5721,4;2,43;43,68;11514,0;0,0;1617,9;0,0;1617,9;True;
ALT-C;E02+E04+E05;SEM_FORQUETA;-;convencional;True;16903,1;15810,0;6,47;11810,0;3,952;8,41;11514,0;0,0;413,2;0,0;413,2;True;
ALT-C;E02+E04+E05;FQ1;FQ1;seca;True;16903,1;9724,1;42,47;5724,1;2,431;43,66;11514,0;2350,1;1726,0;212,3;1938,3;False;
ALT-C;E02+E04+E05;FQ1;FQ1;comportas;True;16903,1;9753,9;42,3;5753,9;2,438;43,49;11514,0;2350,1;1617,9;142,8;1760,7;True;
ALT-C;E02+E04+E05;FQ1;FQ1;convencional;True;16903,1;15820,3;6,41;11820,3;3,955;8,35;11514,0;2350,1;413,2;27,8;440,9;True;
ALT-C;E02+E04+E05;FQ2;FQ2;seca;True;16903,1;9611,8;43,14;5611,8;2,403;44,31;11514,0;2204,2;1726,0;148,4;1874,4;True;
ALT-C;E02+E04+E05;FQ2;FQ2;comportas;True;16903,1;9751,8;42,31;5751,8;2,438;43,5;11514,0;2204,2;1617,9;89,7;1707,6;True;
ALT-C;E02+E04+E05;FQ2;FQ2;convencional;True;16903,1;15819,7;6,41;11819,7;3,955;8,35;11514,0;2204,2;413,2;16,6;429,8;True;
ALT-C;E02+E04+E05;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;9724,1;42,47;5724,1;2,431;43,66;11514,0;2350,1;1726,0;229,5;1955,5;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-C;E02+E04+E05;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;9728,3;42,45;5728,3;2,432;43,64;11514,0;2350,1;1617,9;223,5;1841,3;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-C;E02+E04+E05;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;15830,6;6,35;11830,6;3,958;8,29;11514,0;2350,1;413,2;44,4;457,5;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-D;E02+E04+E08;SEM_FORQUETA;-;seca;True;16903,1;8942,6;47,09;4942,6;2,236;48,19;11950,5;0,0;1844,7;0,0;1844,7;False;
ALT-D;E02+E04+E08;SEM_FORQUETA;-;comportas;True;16903,1;9466,0;44,0;5466,0;2,366;45,16;11950,5;0,0;1690,8;0,0;1690,8;False;
ALT-D;E02+E04+E08;SEM_FORQUETA;-;convencional;True;16903,1;15798,7;6,53;11798,7;3,95;8,47;11950,5;0,0;468,1;0,0;468,1;True;
ALT-D;E02+E04+E08;FQ1;FQ1;seca;True;16903,1;9098,6;46,17;5098,6;2,275;47,29;11950,5;2350,1;1844,7;212,3;2057,0;False;
ALT-D;E02+E04+E08;FQ1;FQ1;comportas;True;16903,1;9503,7;43,78;5503,7;2,376;44,94;11950,5;2350,1;1690,8;142,8;1833,6;True;
ALT-D;E02+E04+E08;FQ1;FQ1;convencional;True;16903,1;15809,0;6,47;11809,0;3,952;8,41;11950,5;2350,1;468,1;27,8;495,9;True;
ALT-D;E02+E04+E08;FQ2;FQ2;seca;True;16903,1;8958,7;47,0;4958,7;2,24;48,1;11950,5;2204,2;1844,7;148,4;1993,1;True;
ALT-D;E02+E04+E08;FQ2;FQ2;comportas;True;16903,1;9501,3;43,79;5501,3;2,375;44,96;11950,5;2204,2;1690,8;89,7;1780,5;True;
ALT-D;E02+E04+E08;FQ2;FQ2;convencional;True;16903,1;15808,4;6,48;11808,4;3,952;8,41;11950,5;2204,2;468,1;16,6;484,7;True;
ALT-D;E02+E04+E08;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;9098,6;46,17;5098,6;2,275;47,29;11950,5;2350,1;1844,7;229,5;2074,2;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-D;E02+E04+E08;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;9452,4;44,08;5452,4;2,363;45,24;11950,5;2350,1;1690,8;223,5;1914,3;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-D;E02+E04+E08;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;15819,3;6,41;11819,3;3,955;8,35;11950,5;2350,1;468,1;44,4;512,5;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-E;E02+E04+E12;SEM_FORQUETA;-;seca;True;16903,1;7073,3;58,15;3073,3;1,768;59,02;15759,8;0,0;2331,6;0,0;2331,6;False;
ALT-E;E02+E04+E12;SEM_FORQUETA;-;comportas;True;16903,1;8301,3;50,89;4301,3;2,075;51,91;15759,8;0,0;2076,6;0,0;2076,6;True;
ALT-E;E02+E04+E12;SEM_FORQUETA;-;convencional;True;16903,1;15802,3;6,51;11802,3;3,951;8,45;15759,8;0,0;500,9;0,0;500,9;True;
ALT-E;E02+E04+E12;FQ1;FQ1;seca;True;16903,1;7045,3;58,32;3045,3;1,761;59,18;15759,8;2350,1;2331,6;212,3;2543,9;False;
ALT-E;E02+E04+E12;FQ1;FQ1;comportas;True;16903,1;7887,0;53,34;3887,0;1,972;54,31;15759,8;2350,1;2076,6;142,8;2219,4;True;
ALT-E;E02+E04+E12;FQ1;FQ1;convencional;True;16903,1;15812,6;6,45;11812,6;3,953;8,39;15759,8;2350,1;500,9;27,8;528,6;True;
ALT-E;E02+E04+E12;FQ2;FQ2;seca;True;16903,1;7123,7;57,86;3123,7;1,781;58,73;15759,8;2204,2;2331,6;148,4;2480,1;True;
ALT-E;E02+E04+E12;FQ2;FQ2;comportas;True;16903,1;8319,7;50,78;4319,7;2,08;51,8;15759,8;2204,2;2076,6;89,7;2166,3;True;
ALT-E;E02+E04+E12;FQ2;FQ2;convencional;True;16903,1;15812,0;6,45;11812,0;3,953;8,39;15759,8;2204,2;500,9;16,6;517,5;True;
ALT-E;E02+E04+E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;7045,3;58,32;3045,3;1,761;59,18;15759,8;2350,1;2331,6;229,5;2561,1;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
