faixa;alternativa;eixos;alturas;arranjo;area_ctrl_km2;pct_bacia;V_util_hm3;area_alagada_km2;pico_2024_com;reducao_pct;saturou;custo_MRS;EAD_sem_MRS;EAD_com_MRS;benef_anual_MRS;VPL_benef_MRS;VPL_custo_MRS;VPL_liq_MRS;BC
<10%;B1-70m-seca;B1;70;seca;15457;79,5;1166;40;17113;4,9;TRUE;865;312,6;167,7;145;2285;974;1311;2,35
10-20%;B3-80m+B2-70m-seca;B3+B2;80/70;seca;15336;78,9;1187;37,5;16170;10,2;TRUE;2124;312,6;150,1;162,6;2562;2392;170;1,07
20-30%;B1-80m-seca;B1;80;seca;15457;79,5;1600;46,8;13788;23,4;TRUE;1125;312,6;95,7;217;3420;1267;2153;2,7
30-40%;B1-120m-convencional;B1;120;convencional;15457;79,5;2549;80,9;11195;37,8;FALSE;2649;312,6;94,4;218,2;3440;2983;456;1,15
40-50%;B3-100m-seca;B3;100;seca;12774;65,7;1583;39,7;10145;43,6;FALSE;1568;312,6;90,2;222,4;3506;1766;1740;1,99
50-60%;B1-90m-seca;B1;90;seca;15457;79,5;1977;54;8516;52,7;FALSE;1431;312,6;62;250,6;3950;1611;2339;2,45
