usina;data_atualizacao_cav;cota_normal_sl_m;cota_normal_sgb_m;volume_normal_oficial_hm3;area_normal_oficial_km2;cota_deplecionada_1m_sl_m;area_na_deplecionada_1m_km2;volume_na_deplecionada_1m_hm3;volume_espera_1m_hm3;cota_deplecionada_2m_sl_m;area_na_deplecionada_2m_km2;volume_na_deplecionada_2m_hm3;volume_espera_2m_hm3;cota_deplecionada_3m_sl_m;area_na_deplecionada_3m_km2;volume_na_deplecionada_3m_hm3;volume_espera_3m_hm3;cota_deplecionada_5m_sl_m;area_na_deplecionada_5m_km2;volume_na_deplecionada_5m_hm3;volume_espera_5m_hm3;cota_deplecionada_8m_sl_m;area_na_deplecionada_8m_km2;volume_na_deplecionada_8m_hm3;volume_espera_8m_hm3;cota_deplecionada_10m_sl_m;area_na_deplecionada_10m_km2;volume_na_deplecionada_10m_hm3;volume_espera_10m_hm3;cota_deplecionada_15m_sl_m;area_na_deplecionada_15m_km2;volume_na_deplecionada_15m_hm3;volume_espera_15m_hm3
14 de Julho;2020-10-01;104,0;103,93;74,838784263106;5,6312196844805005;103,0;5,4965247030863;69,27141638314;5,567367879966014;102,0;5,304201136989244;63,86757347429588;10,971210788810126;101,0;5,097214048257177;58,66772659455862;16,171057668547384;99,0;4,666067253216569;48,89664760591474;25,94213665719127;96,0;3,9505777068539922;35,95906094506714;38,87972331803887;94,0;3,42101920540866;28,571552012741268;46,26723225036474;89,0;2,05743729575017;14,887606827651506;59,9511774354545
Castro Alves;Dezembro de 2016;240,0;239,85;105,04531821782;5,3103960702305;239,0;5,2098165401435;99,784725254309;5,260592963511002;238,0;5,095075378839865;94,6308121314182;10,4145060864018;237,0;4,956763313691127;89,60288225254587;15,442435965274129;235,0;4,629256955525491;80,01479275943707;25,030525458382925;232,0;4,157755953212608;66,83631341531714;38,20900480250286;230,0;3,832651337973397;58,8435977027882;46,201720515031795;225,0;3,0984432875068815;41,57349982432919;63,47181839349081
Monte Claro;2020-09-01;148,0;147,87;16,940272743948;1,6081389586742;147,0;1,563118472064;15,354030962255;1,5862417816929995;146,0;1,5017103550143989;13,819796885046495;3,1204758589015054;145,0;1,425578105266888;12,355253904630889;4,585018839317112;143,0;1,2622150197910091;9,662427022788965;7,277845721159036;140,0;1,0007859465855828;6,268018171438744;10,672254572509257;138,0;0,8301175988140017;4,438014393357304;12,502258350590697;133,0;0,4259403069487209;1,320643963853595;15,619628780094406
