t_h;Natural em Estrela;Afluente ao reservatório;Efluente (comportas);Resultante em Estrela
83;10178,2772456925;8558,13140268088;7987,23942856648;9607,38527157812
84;9868,97216239981;8298,06052011022;7803,10303647568;9374,01467876527
85;9565,8106738747;8043,15531440577;8170,60791725799;9693,26327672693
86;9268,93229364874;7793,53309177825;7918,34420309201;9393,7434049625
87;8978,45256084364;7549,29100019898;7671,41204598862;9100,57360663328
88;8694,46453483242;7310,50728614554;7429,89914317226;8813,85639185913
89;8417,04024437177;7077,24251306594;7193,87489960574;8533,67263091157
90;8146,23208911882;6849,54073980631;6963,39162643612;8260,08297574863
91;7882,07419191977;6627,43065764658;6738,48569872644;7993,12923299964
92;7624,58370068623;6410,92668494824;6519,17867129741;7732,8356870354
93;7373,76203905938;6200,03001874181;6305,47835184502;7479,2103721626
94;7129,5961054065;5994,72964287084;6097,37983080633;7232,24629334199
95;6892,05942000081;5795,00329256736;5894,8664677191;6991,92259515256
96;6661,11322050762;5600,81837556198;5697,91083406467;6758,20567901031
97;6436,7075061396;5412,1328500339;5506,47561279794;6531,05026890364
98;6218,78203105409;5228,89605988233;5320,51445495812;6310,40042612987
99;6007,26724774858;5051,04952795531;5139,97279391882;6096,19051371209
100;5802,08520136833;4878,52770800427;4964,78861797979;5888,34611134385
101;5603,15037597551;4711,25869624674;4794,89320212551;5686,78488185428
102;5410,37049394355;4549,16490351565;4630,2117998812;5491,41739030909
103;5223,64726973554;4392,16368905368;4470,66429628467;5302,14787696653
104;5042,87711940419;4240,16795707725;4316,16582306546;5118,8749853924
105;4867,95182721253;4093,08671728669;4166,62733718197;4941,49244710782
106;4698,75917082382;3950,82561054035;4021,95616391352;4769,88972419699
107;4535,18350654415;3813,28740094023;3882,05650574029;4603,95261134421
108;4377,10631612598;3680,37243559697;3746,8299182686;4443,56379879761
109;4224,40671665487;3551,9790733545;3616,17575447574;4288,60339777611
110;4076,96193504673;3428,00408375829;3489,9915785564;4138,94942984484
111;3934,64774868031;3308,34301754938;3368,17355065384;3994,47828178477
112;3797,33889367941;3192,89054995752;3250,61678375345;3855,06512747535
113;3664,90944234353;3081,54079805358;3137,21567400555;3720,5843182955
114;3537,23315120396;2974,18761340322;3027,8642057284;3590,90974352914
115;3414,18378115641;2870,7248512418;2922,45623232251;3465,91516223712
116;3295,6353910912;2771,04661736546;2820,88573430363;3345,47450802937
117;3181,46260640856;2675,047493905;2723,04705563523;3229,46216813879
118;3071,54086377058;2582,62274511899;2628,83511951199;3117,75323816358
119;2965,74663340269;2493,66850431001;2538,1456247145;3010,22375380718
120;2863,95762021735;2408,08194293411;2450,87522362206;2906,7509009053
121;2766,05294499098;2325,76142293858;2366,92168293635;2807,21320498874
122;2671,91330678222;2246,60663332697;2286,18402813278;2711,49070158802
123;2581,42112773618;2170,51871191388;2208,56267262043;2619,46508844273
124;2494,46068137551;2097,40035319504;2133,95953255446;2531,01986073493
125;2410,9182054348;2027,1559032211;2062,27812820807;2446,04043042177
126;2330,68200025101;1959,69144232661;1993,42367277386;2364,41423069826
127;2253,6425136787;1894,91485652866;1927,30314942764;2286,03080657768
128;2179,69241345554;1832,73589837353;1863,8253774511;2210,78189253311
129;2108,72664790093;1773,06623797346;1802,9010681735;2138,56147810096
130;2040,64249578844;1715,81950494059;1744,44287145702;2069,26586230488
131;1975,33960619176;1660,91132189028;1688,36541341544;2002,79369771691
132;1912,7200290634;1608,25933015253;1634,58532602141;1939,04602493228
133;1852,68823726666;1557,78320829681;1583,02126922467;1877,92629819452
134;1795,1511407427;1509,40468404417;1533,59394617049;1819,34040286902
135;1740,01809345809;1463,04754010887;1486,22611207652;1763,19666542574
136;1687,20089374211;1418,637614482;1440,84257729544;1709,40585655555
137;1636,61377858886;1376,1027956405;1397,37020506125;1657,88118800961
138;1588,17341246541;1335,37301313689;1355,73790438869;1608,53830371721
139;1541,79887113573;1296,380223998;1315,87661856744;1561,29526570517
140;1497,41162097894;1259,05839533527;1277,71930966664;1516,0725353103
141;1454,93549425083;1223,3434835441;1241,20093943968;1472,79295014642
142;1414,29666070971;1189,17341044614;1206,25844699512;1431,38169725869
143;1375,42359599984;1156,48803670543;1172,83072357579;1391,7662828702
144;1338,24704716067;1125,22913282772;1140,85858476658;1353,87649909953
145;1302,69999560464;1095,34034803134;1110,28474042953;1317,64438800283
146;1268,71761788337;1066,76717725853;1081,05376264493;1283,00420326977
147;1236,23724453943;1039,45692657704;1053,11205191778;1249,89236988017
148;1205,19831731969;1013,35867720412;1026,40780189058;1218,24744200615
149;1175,54234500611;988,423248368039;1000,89096278608;1188,01005942415
150;1147,21285810075;964,603159206175;976,513203787107;1159,12290268168
151;1120,15536258373;941,852589883638;953,227874544907;1131,530647245
152;1094,31729294561;920,127342101827;930,989965992732;1105,17991683652
153;1069,64796467983;899,384799152944;909,756070627385;1080,01923615427
154;1046,09852640532;879,583885663592;889,484342408268;1055,99898314999
155;1023,62191177526;860,685027158549;870,13445641107;1033,07134102778
156;1002,17279131446;842,650109564498;851,667568361524;1011,19025011149
157;981,707524315013;825,442438762807;834,046274163653;990,311359715859
158;962,184110908226;809,026700290478;817,234569526642;970,39198014439
159;943,562144419458;793,368919278997;801,197809784737;951,391034925198
160;925,802764102188;778,436420712041;785,902669995519;933,269013385666
161;908,868608337833;764,197790074804;771,317105393423;915,987923656452
162;892,72376837873;750,622834460018;757,410312267411;899,511246186123
163;877,333742703182;737,682544188625;744,152689324322;883,803887838878
164;862,665392043576;725,349054996372;731,515799592498;868,832136639703
165;848,68689514119;713,595610831426;719,472332913899;854,563617223663
166;835,367705274489;702,396527302362;707,996069066894;840,967247039021
167;822,678507601342;691,727155810508;697,061841556435;828,01319334727
168;810,591177349762;681,563848395748;686,645502103128;815,672831057142
169;799,07873888628;671,883923320269;676,723885858008;803,918701424019
170;788,115325686128;662,665631410555;667,274777365412;792,724471640984
171;777,676141224728;653,888123174052;658,276877292304;782,06489534298
172;767,737420805775;645,531416703327;649,709769938689;771,915774041137
173;758,276394337308;637,576366377335;641,553891540331;762,253919500304
174;749,271250063583;630,004632366331;633,790499371833;753,057117069085
175;740,701099257331;622,798650944305;626,401641655318;744,304089968344
176;732,545941873991;615,941605610262;619,370128277283;735,974464541012
177;724,786633166834;609,41739901745;612,679502313856;728,04873646324
178;717,404851259453;603,210625707553;606,314012362502;720,508237914402
179;710,383065669867;597,30654564503;600,258585676292;713,335105701129
180;703,704506778542;591,691058545119;594,498802095075;706,512250328498
181;697,353136230813;586,350678987509;589,020868766314;700,023326009618
182;691,313618262643;581,272512306372;583,811595646941;693,852701603212
183;685,571291937233;576,444231246262;578,858371776317;687,985432467289
184;680,112144278741;571,854053372321;574,149142309291;682,407233215712
185;674,922784288324;567,490719222369;569,672386297345;677,1044513633
186;669,99041782672;563,343471187595;565,417095204982;672,064041844107
187;665,302823346827;559,402033107945;561,37275214777;667,273542386652
188;660,848328458998;555,656590567682;557,529311837814;662,72104972913
189;656,615787311229;552,097771876121;553,877181221901;658,39519665701
190;652,59455876592;548,716629718147;550,407200797134;654,285129844908
191;648,774485354517;545,504623458785;547,110626588466;650,380488484198
192;645,145872991044;542,453602085877;543,979112772331;646,671383677498
193;641,699471425332;539,555787774693;541,004694930285;643,148378580925
194;638,426455416586;536,803760058236;538,179773916465;639,802469274814
195;635,318406607883;534,1904405869;535,497100322568;636,625066343551
196;632,36729608216;531,709078461138;532,949759524019;633,607977145041
197;629,565467580297;529,353236120837;530,531157290987;630,743388750447
198;626,905621361977;527,116775775159;528,235005947998;628,023851534816
199;624,380798690158;524,993846356721;526,05531106594;625,442263399377
200;621,984366920143;522,978870984143;523,986358670432;622,991854606432
201;619,710005174449;521,066534917141;522,022702950642;620,66617320795
202;617,551690584913;519,251773988578;520,159154452859;618,459071049195
203;615,503685083741;517,529763498064;518,390768743321;616,364690328998
204;613,560522725491;515,895907551991;516,712835525027;614,377450698527
205;611,716997522299;514,345828835109;515,12086819355;612,49203688074
206;609,968151774979;512,875358799041;513,610593817075;610,703386793013
207;608,30926488298;511,480528253438;512,17794352624;609,006680155782
208;606,735842616537;510,157558345753;510,819043299595;607,397327570379
209;605,243606834718;508,902851915941;509,530205130847;605,870960049625
210;603,828485633467;507,712985212697;508,307918564319;604,423418985089
211;602,486603908091;506,584699958187;507,148842585442;603,050746535346
212;601,214274315073;505,514895748524;506,049797853356;601,749176419905
213;600,007988618451;504,500622777601;505,007759263063;600,515125103913
214;598,864409406416;503,539074872221;504,019848824911;599,345183359106
215;597,780362164175;502,627582826773;503,083328849497;598,236108186899
216;596,75282768952;501,763608026067;502,19559542642;597,184815089873
217;595,778934837948;500,944736345262;501,354172185664;596,188370678351
218;594,855953584547;500,168672316139;500,5567043307;595,243985599108
219;593,981288390274;499,433233549318;499,800952932728;594,349007773685
220;593,152471860639;498,736345402325;499,084789475821;593,500915934136
221;592,367158685157;498,076035883749;498,406190643037;592,697313444445
