dist_km;x;y;cota_m;area_km2;cota_talvegue_m;municipio
113,72459435198655;405279,0168280032;6737362,892895551;14,0;23085,783203125;14,0;Estrela
113,75323139518775;405279,0168280032;6737334,25585235;14,0;23085,78515625;14,0;Estrela
113,78186843838897;405279,0168280032;6737305,618809149;14,0;23085,78515625;14,0;Lajeado
113,81050548159017;405279,0168280032;6737276,981765947;14,0;23085,78515625;14,0;Lajeado
113,83914252479137;405279,0168280032;6737248,344722747;14,0;23085,78515625;14,0;Lajeado
113,86777956799257;405279,0168280032;6737219,7076795455;14,0;23086,8828125;14,0;Lajeado
113,90827807448773;405307,6538712044;6737191,070636344;14,0;23086,919921875;14,0;Lajeado
113,94877658098287;405336,2909144056;6737162,433593143;14,0;23087,41796875;14,0;Lajeado
113,98927508747802;405364,9279576068;6737133,796549941;14,0;23087,53125;14,0;Lajeado
114,02977359397316;405393,565000808;6737105,15950674;14,0;23087,5390625;14,0;Lajeado
114,07027210046832;405422,20204400923;6737076,52246354;14,0;23087,5546875;14,0;Lajeado
114,11077060696346;405450,8390872104;6737047,885420338;14,0;23087,57421875;14,0;Lajeado
114,15126911345861;405479,4761304116;6737019,248377137;14,0;23087,66796875;14,0;Lajeado
114,19176761995375;405508,11317361286;6736990,6113339355;14,0;23087,68359375;14,0;Lajeado
114,2322661264489;405536,75021681405;6736961,974290734;14,699999809265137;23087,693359375;14,0;Lajeado
114,27276463294405;405565,38726001524;6736933,337247534;14,850000381469727;23087,7109375;14,0;Lajeado
114,3132631394392;405594,0243032164;6736904,700204332;14,729999542236328;23087,7265625;14,0;Lajeado
114,35376164593434;405622,6613464176;6736876,063161131;14,380000114440918;23087,783203125;14,0;Lajeado
114,39426015242948;405651,29838961887;6736847,42611793;14,0;23087,90625;14,0;Lajeado
114,43475865892464;405679,93543282006;6736818,789074728;14,0;23087,9921875;14,0;Lajeado
114,47525716541978;405708,57247602125;6736790,152031527;14,0;23088,015625;14,0;Lajeado
114,50389420862099;405708,57247602125;6736761,5149883265;14,0;23088,017578125;14,0;Lajeado
114,54439271511613;405737,2095192225;6736732,877945125;14,109999656677246;23088,029296875;14,0;Lajeado
114,58489122161129;405765,8465624237;6736704,240901924;14,180000305175781;23088,07421875;14,0;Lajeado
