eixo;altura_m;cota_NA_eixo_m;aproveitamento;situacao;potencia_kW;cota_existente_m;area_exist_km2;afogamento_m
E05;55;222,0;Bugrinha;estudo;8,502;221,2;1150,7;0,8
E05;70;237,0;Castro Alves;operacao;130000,00;236,0;7700,0;1,0
E05;85;252,0;Queimado;estudo;8,060;247,1;1230,5;4,9
E05;100;267,0;Alto Constantino;estudo;8,000;264,2;892,8;2,8
E05;105;272,0;Jararaca;operacao;28000,00;268,3;3732,0;3,7
E05;115;282,0;Rastro de Auto;operacao;7020,00;277,4;647,6;4,6
E05;115;282,0;Autódromo;operacao;24000,00;280,0;1816,4;2,0
E05;115;282,0;Da Ilha;operacao;26000,00;279,4;3633,1;2,6
E06;10;159,5;Boa Vista;operacao;705,75;41,6;548,1;117,9
E06;10;159,5;Vale Fundo;estudo;5,600;135,7;706,2;23,8
E06;10;159,5;Vale do Leite;operacao;6400,00;130,9;753,4;28,6
E06;10;159,5;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;12,3
E06;10;159,5;Cotiporã;operacao;19500,00;138,1;2447,6;21,4
E06;20;169,5;Monte Cuco;operacao;30000,00;167,4;2143,9;2,1
E06;25;174,5;Foz do Prata;operacao;49365,00;171,3;3776,0;3,2
E06;35;184,5;Linha Emília;operacao;19500,00;179,6;2314,1;4,9
E06;40;189,5;Guaporé;operacao;667,20;189,0;2066,4;0,5
E06;45;194,5;Salto Forqueta;operacao;6080,00;190,0;672,3;4,5
E06;75;224,5;Bugrinha;estudo;8,502;221,2;1150,7;3,3
E06;90;239,5;Castro Alves;operacao;130000,00;236,0;7700,0;3,5
E06;100;249,5;Queimado;estudo;8,060;247,1;1230,5;2,4
E06;115;264,5;Alto Constantino;estudo;8,000;264,2;892,8;0,3
E06;120;269,5;Jararaca;operacao;28000,00;268,3;3732,0;1,2
E07;10;159,5;Boa Vista;operacao;705,75;41,6;548,1;117,9
E07;10;159,5;Vale Fundo;estudo;5,600;135,7;706,2;23,8
E07;10;159,5;Vale do Leite;operacao;6400,00;130,9;753,4;28,6
E07;10;159,5;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;12,3
E07;10;159,5;Cotiporã;operacao;19500,00;138,1;2447,6;21,4
E07;20;169,5;Monte Cuco;operacao;30000,00;167,4;2143,9;2,1
E07;25;174,5;Foz do Prata;operacao;49365,00;171,3;3776,0;3,2
