cenario;eixos_com_comportas;pico_natural_m3s;pico_resultante_m3s;reducao_pico_pct;volume_espera_inicial_hm3;reservatorios_saturados;galgamentos
C01;E02+E04;17999,514514561488;9216,912213992038;48,79355103419252;3301,701502613828;0;0
C02;E02+E04+E12;17999,514514561488;6650,257886650679;63,05312634254294;4236,338252121343;0;0
C03;E02+E04+E08;17999,514514561488;8712,737970216229;51,59459460327287;3864,8678562573623;0;0
C04;E09+E10+E11+E12;17999,514514561488;14753,392037638036;18,034500176642876;1417,2763866772264;4;4
C05;E01+E02+E04+E08+E09+E10+E11+E12;17999,514514561488;5964,999987638241;66,86021735301473;5445,3547960960495;1;1
