eixo;variavel;grau;altura_centro_m;meia_amplitude_m;rmse_unidade;erro_max_abs_unidade;monotono_no_intervalo;coef_c0;coef_c1;coef_c2;coef_c3;coef_c4
E01;area;2;65,0;55,0;0,14557059498528827;0,43130999435347483;True;6,752944099378883;8,914021739130435;2,770599378881989;;
E01;area;3;65,0;55,0;0,13013432231561667;0,396807105937544;True;6,752944099378883;8,664163322185063;2,7705993788819905;0,3826945373467083;
E01;area;4;65,0;55,0;0,12364262036710677;0,34575960271612516;True;6,799048054919906;8,66416332218506;2,34418704649025;0,38269453734672154;0,4589215318116902
E01;volume;2;65,0;55,0;8,340549626674806;18,58739130434776;False;180,5990062111802;404,56195652173915;242,851645962733;;
E01;volume;3;65,0;55,0;0,7401087597534647;1,93342309864056;True;180,5990062111802;372,74353957636566;242,851645962733;48,73453734671115;
E01;volume;4;65,0;55,0;0,527451710818541;1,5024627546368947;True;181,1887414187643;372,7435395763656;237,39722535156162;48,73453734671159;5,8702595395963355
E02;area;2;65,0;55,0;0,3247726073095534;0,5817955957086429;True;10,482757763975158;15,081956521739128;5,784155279503113;;
E02;area;3;65,0;55,0;0,22174917029528074;0,42492420622855676;True;10,482757763975158;15,990764771460427;5,784155279503113;-1,3919721293199618;
E02;area;4;65,0;55,0;0,16831039550056592;0,30928779077520474;True;10,318764302059497;15,990764771460427;7,300919595532854;-1,391972129319949;-1,6324007314831044
E02;volume;2;65,0;55,0;19,340319996349372;41,089130434783144;False;274,11552795031076;647,1239130434782;422,29751552795057;;
E02;volume;3;65,0;55,0;2,815503060742075;5,098394648829753;True;274,11552795031076;573,839303232999;422,2975155279506;112,24604793756954;
E02;volume;4;65,0;55,0;1,4499453064750865;2,6753775743706996;True;271,3741418764304;573,8393032329991;447,6524078800676;112,24604793757014;-27,287920993955883
E03;area;2;65,0;55,0;0,10451687088367628;0,36192546583851026;True;2,9598385093167705;3,9472826086956525;1,2104440993788823;;
E03;area;3;65,0;55,0;0,10293212239762133;0,34514376927420454;True;2,9598385093167705;3,8778383500557414;1,2104440993788823;0,10636399108138152;
E03;area;4;65,0;55,0;0,09598954536012824;0,29815973500184256;True;3,002050343249428;3,877838350055744;0,8200297336149712;0,10636399108138422;0,4201791204600153
E03;volume;2;65,0;55,0;3,5311712577382393;7,843478260869517;False;78,0465838509317;177,06304347826082;107,94689440993793;;
E03;volume;3;65,0;55,0;0,4967898075952701;1,366572557876907;True;78,0465838509317;163,67311594202897;107,94689440993793;20,50862318840571;
E03;volume;4;65,0;55,0;0,48235973409402666;1,217077125772846;True;78,18160183066361;163,673115942029;106,69812234739568;20,508623188405966;1,343977048250567
E04;area;2;65,0;55,0;0,09217556703500998;0,18189158667418237;True;18,190509316770193;19,207717391304346;4,852947204968954;;
E04;area;3;65,0;55,0;0,089654985294454;0,1932141771272038;True;18,190509316770193;19,28971181716834;4,852947204968954;-0,1255863991081501;
E04;area;4;65,0;55,0;0,08867302535020456;0,176571399614887;True;18,175478260869564;19,28971181716834;4,991968413229269;-0,12558639910812133;-0,14962002972870717
E04;volume;2;65,0;55,0;15,039380770241943;30,969130434783416;True;590,78099378882;1060,7434782608696;529,331614906833;;
E04;volume;3;65,0;55,0;0,6178823493059797;1,0902202145681485;True;590,78099378882;1003,1910535117054;529,3316149068326;88,1499163879595;
E04;volume;4;65,0;55,0;0,4337810748436328;0,7644171160645783;True;590,28118993135;1003,1910535117055;533,9542666099476;88,14991638796066;-4,9750775000489655
E05;area;2;65,0;55,0;1,013015645345314;2,648960474308301;False;5,018086956521739;12,255543478260872;8,07471739130435;;
E05;area;3;65,0;55,0;0,9886318405637415;2,724909090909091;False;5,018086956521739;13,101688963210698;8,07471739130435;-1,2959949832775899;
E05;area;4;65,0;55,0;0,7946940124359352;2,1075109215727084;True;4,350082379862703;13,1016889632107;14,253046045297188;-1,2959949832775857;-6,649357522149858
