cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;90;223,7;405;0,76;74,4;75,2;0,05697000026702881;0,052
sem_barragem;91;224,7;406;0,65;81,3;81,9;0,042490001767873764;0,061
sem_barragem;92;225,4;407;1,21;88,5;89,7;0,05671999976038933;0,065
sem_barragem;93;226,3;409;0,51;88,1;88,6;0,05610999837517738;0,065
sem_barragem;94;227,1;410;0,38;41,8;42,2;0,054409999400377274;0,053
sem_barragem;95;227,8;411;0,89;43,0;43,8;0,03798000141978264;0,061
sem_barragem;96;228,5;412;1,04;42,0;43,0;0,05414000153541565;0,057
sem_barragem;97;230,9;416;0,6;92,7;93,3;0,06923999637365341;0,067
sem_barragem;98;233,4;419;0,49;19,8;20,3;0,021570000797510147;0,067
sem_barragem;99;235,0;422;1,84;17,7;19,5;0,007930000312626362;0,065
sem_barragem;100;235,2;422;0,87;17,3;18,1;0,06718999892473221;0,06
sem_barragem;101;236,1;424;0,48;40,7;41,2;0,061969999223947525;0,062
sem_barragem;102;237,8;426;1,1;39,2;40,3;0,018039999529719353;0,059
sem_barragem;103;238,4;427;0,45;38,2;38,7;0,0635799989104271;0,068
sem_barragem;104;238,7;428;0,89;16,8;17,7;0,02223999984562397;0,064
sem_barragem;105;239,7;429;1,19;21,9;23,1;0,008500000461935997;0,056
sem_barragem;106;240,9;431;0,77;23,3;24,0;0,06312999874353409;0,067
sem_barragem;107;242,0;433;1,15;77,1;78,3;0,05708000063896179;0,064
sem_barragem;108;243,3;435;0,83;36,9;37,7;0,018519999459385872;0,064
sem_barragem;109;244,1;436;1,0;76,3;77,3;0,0369499996304512;0,06
sem_barragem;110;245,4;438;0,16;73,0;73,2;0,047540001571178436;0,061
sem_barragem;111;249,1;443;1,59;20,8;22,4;0,01648000068962574;0,064
sem_barragem;112;250,5;445;0,71;34,0;34,7;0,015309999696910381;0,057
sem_barragem;113;250,7;446;0,87;32,4;33,2;0,013819999992847443;0,057
sem_barragem;114;251,8;448;1,35;18,9;20,2;0,004879999905824661;0,058
sem_barragem;115;253,4;450;1,82;16,8;18,7;0,004720000084489584;0,062
sem_barragem;116;254,8;452;8,81;13,5;22,3;0,0001900000061141327;0,064
sem_barragem;117;254,9;452;1,03;13,5;14,5;0,02387000061571598;0,067
sem_barragem;118;257,3;456;0,64;69,9;70,6;0,027370000258088112;0,058
sem_barragem;119;258,7;458;0,54;67,1;67,7;0,03457000106573105;0,066
sem_barragem;120;259,4;459;0,48;41,0;41,5;0,047600001096725464;0,067
sem_barragem;121;259,8;460;0,56;40,6;41,1;0,008709999732673168;0,043
sem_barragem;122;260,9;461;1,53;37,9;39,4;0,002580000087618828;0,054
sem_barragem;123;262,5;464;0,52;50,9;51,4;0,056299999356269836;0,067
sem_barragem;124;263,5;465;0,65;64,5;65,1;0,04628000035881996;0,067
sem_barragem;125;273,3;480;0,6;14,8;15,4;0,1300400048494339;0,06
sem_barragem;126;274,6;482;0,26;13,2;13,5;0,13387000560760498;0,068
sem_barragem;127;275,8;483;0,86;79,9;80,8;0,13102999329566956;0,056
sem_barragem;128;277,3;486;0,12;137,5;137,6;0,12783999741077423;0,038
sem_barragem;129;278,3;487;0,76;13,1;13,9;0,007739999797195196;0,067
sem_barragem;130;284,3;496;0,33;131,5;131,8;0,11123000085353851;0,062
sem_barragem;131;285,6;498;0,25;58,8;59,0;0,1132500022649765;0,065
sem_barragem;132;286,6;500;0,39;36,1;36,5;0,11455000191926956;0,051
sem_barragem;133;287,3;501;1,01;36,6;37,7;0,041030000895261765;0,065
sem_barragem;134;287,9;501;0,57;34,5;35,1;0,04416999965906143;0,047
sem_barragem;135;288,2;502;0,43;22,2;22,6;0,11112000048160553;0,048
sem_barragem;136;288,3;502;1,28;7,7;9,0;0,10761000216007233;0,057
sem_barragem;137;289,5;504;0,55;115,6;116,1;0,1080000028014183;0,058
sem_barragem;138;291,1;506;0,39;36,8;37,2;0,09043999761343002;0,066
sem_barragem;139;291,8;507;1,33;62,0;63,3;0,0919099971652031;0,063
sem_barragem;140;293,2;509;1,29;61,0;62,3;0,04510999843478203;0,062
sem_barragem;141;294,4;511;1,43;12,1;13,6;0,00394000019878149;0,06
sem_barragem;142;295,2;512;1,09;13,3;14,4;0,09160999953746796;0,065
sem_barragem;143;296,9;515;0,3;35,6;35,9;0,022579999640583992;0,061
sem_barragem;144;297,8;516;0,88;57,5;58,4;0,09470999985933304;0,068
sem_barragem;145;298,9;518;0,9;7,6;8,5;0,04562000185251236;0,062
sem_barragem;146;300,4;520;2,82;54,2;57,1;0,007280000019818544;0,063
sem_barragem;147;301,2;521;0,2;13,9;14,1;0,09176000207662582;0,059
sem_barragem;148;301,5;522;0,92;78,1;79,0;0,09307000041007996;0,058
sem_barragem;149;304,4;526;0,39;106,7;107,1;0,09401000291109085;0,062
sem_barragem;150;304,9;526;0,71;8,9;9,6;0,08596000075340271;0,047
sem_barragem;151;305,4;527;2,08;97,7;99,8;0,08183000236749649;0,067
sem_barragem;152;306,1;528;0,81;6,8;7,6;0,08083000034093857;0,06
sem_barragem;153;307,0;530;0,82;11,5;12,3;0,07761000096797943;0,067
sem_barragem;154;309,8;534;1,8;50,5;52,3;0,04236999899148941;0,066
sem_barragem;155;310,7;535;0,73;11,2;11,9;0,03931000083684921;0,064
sem_barragem;156;311,3;536;1,01;11,3;12,3;0,03590000048279762;0,058
sem_barragem;157;312,0;537;1,73;25,5;27,2;0,039500001817941666;0,064
sem_barragem;158;315,7;542;1,94;40,5;42,5;0,010579999536275864;0,065
