eixo;altura_m;cota_NA_m;area_alagada_km2;volume_hm3
E01;10;50,0;1,52;5,5
E01;15;55,0;4,45;20,6
E01;20;60,0;7,35;50,0
E01;25;65,0;9,9;93,6
E01;30;70,0;12,24;149,0
E01;35;75,0;14,39;215,8
E01;40;80,0;16,62;293,4
E01;45;85,0;18,72;381,7
E01;50;90,0;20,94;481,0
E01;55;95,0;22,79;590,3
E01;60;100,0;24,65;709,0
E01;65;105,0;26,72;837,4
E01;70;110,0;28,98;976,5
E01;75;115,0;31,15;1126,7
E01;80;120,0;33,67;1288,9
E01;85;125,0;36,28;1463,7
E01;90;130,0;38,82;1651,4
E01;95;135,0;41,31;1852,0
E01;100;140,0;43,77;2064,5
E01;105;145,0;46,38;2290,1
E01;110;150,0;48,85;2528,4
E01;115;155,0;51,41;2779,4
E01;120;160,0;54,07;3042,9
E10;10;158,5;1,97;14,1
E10;15;163,5;2,58;25,5
E10;20;168,5;3,19;39,9
E10;25;173,5;3,99;57,7
E10;30;178,5;4,65;79,3
E10;35;183,5;5,32;104,1
E10;40;188,5;6,15;132,8
E10;45;193,5;7,21;166,1
E10;50;198,5;8,1;204,4
E10;55;203,5;8,91;247,1
E10;60;208,5;9,89;294,2
E10;65;213,5;10,89;346,2
E10;70;218,5;11,95;403,3
E10;75;223,5;13,07;465,8
E10;80;228,5;14,18;534,1
E10;85;233,5;15,28;607,8
E10;90;238,5;16,88;687,5
E10;95;243,5;23,02;793,3
E10;100;248,5;24,92;913,1
E10;105;253,5;27,95;1043,9
E10;110;258,5;30,34;1189,6
E10;115;263,5;33,01;1347,6
E10;120;268,5;35,71;1519,5
E11;10;116,0;2,28;14,6
E11;15;121,0;2,74;27,1
E11;20;126,0;3,43;42,7
E11;25;131,0;4,2;61,7
E11;30;136,0;4,95;84,5
E11;35;141,0;5,75;111,3
E11;40;146,0;6,55;142,0
E11;45;151,0;8,61;178,8
E11;50;156,0;9,74;224,8
E11;55;161,0;10,96;276,4
E11;60;166,0;12,3;334,5
E11;65;171,0;13,75;399,4
E11;70;176,0;15,21;471,9
E11;75;181,0;16,67;551,6
E11;80;186,0;18,22;638,7
E11;85;191,0;19,98;734,1
E11;90;196,0;21,89;838,9
E11;95;201,0;23,58;952,6
E11;100;206,0;25,32;1074,9
E11;105;211,0;27,14;1206,0
E11;110;216,0;29,05;1346,5
E11;115;221,0;31,04;1496,7
E11;120;226,0;33,02;1657,0
E13;10;67,5;3,6;17,2
E13;15;72,5;5,83;40,0
E13;20;77,5;8,32;76,0
E13;25;82,5;10,26;122,6
E13;30;87,5;11,98;178,2
E13;35;92,5;13,73;242,6
E13;40;97,5;15,52;315,7
E13;45;102,5;17,09;397,2
E13;50;107,5;26,78;504,6
E13;55;112,5;30,32;647,4
E13;60;117,5;33,62;807,4
E13;65;122,5;36,77;983,5
E13;70;127,5;40,17;1176,3
E13;75;132,5;43,49;1385,4
E13;80;137,5;46,89;1611,3
E13;85;142,5;50,5;1854,9
E13;90;147,5;54,17;2116,5
E13;95;152,5;59,09;2400,5
E13;100;157,5;63,17;2705,9
E13;105;162,5;67,32;3031,9
E13;110;167,5;71,82;3380,0
E13;115;172,5;76,54;3751,0
E13;120;177,5;81,13;4145,3
E14;10;57,0;3,69;19,2
E14;15;62,0;7,2;44,2
E14;20;67,0;11,65;90,5
E14;25;72,0;16,14;160,8
E14;30;77,0;20,41;253,1
E14;35;82,0;23,6;363,6
E14;40;87,0;26,53;489,2
E14;45;92,0;29,38;629,1
E14;50;97,0;32,09;782,6
E14;55;102,0;34,62;949,6
E14;60;107,0;45,05;1143,2
E14;65;112,0;49,61;1380,4
E14;70;117,0;53,94;1639,5
E14;75;122,0;58,0;1919,5
E14;80;127,0;62,25;2220,6
E14;85;132,0;66,38;2542,2
E14;90;137,0;70,65;2885,0
E14;95;142,0;75,02;3249,4
E14;100;147,0;79,5;3635,8
E14;105;152,0;85,19;4047,7
E14;110;157,0;89,96;4485,3
E14;115;162,0;94,97;4947,5
E14;120;167,0;100,42;5436,0
E12;10;82,0;1,63;11,0
E12;15;87,0;2,12;20,4
E12;20;92,0;2,58;32,1
E12;25;97,0;2,98;46,0
E12;30;102,0;3,36;61,9
E12;35;107,0;11,33;93,0
E12;40;112,0;13,49;155,1
E12;45;117,0;15,43;227,7
E12;50;122,0;17,16;309,2
E12;55;127,0;19,09;400,1
E12;60;132,0;21,0;500,3
E12;65;137,0;22,85;610,1
E12;70;142,0;24,77;729,4
E12;75;147,0;26,77;858,2
E12;80;152,0;30,04;1000,3
E12;85;157,0;32,36;1156,2
E12;90;162,0;34,84;1324,0
E12;95;167,0;37,53;1504,9
E12;100;172,0;40,37;1699,6
E12;105;177,0;43,17;1908,6
E12;110;182,0;46,02;2131,7
E12;115;187,0;49,14;2369,7
E12;120;192,0;52,49;2623,6
E05;10;159,5;0,24;1,6
E05;15;164,5;0,33;3,0
E05;20;169,5;0,47;4,9
E05;25;174,5;0,66;7,8
E05;30;179,5;0,87;11,5
E05;35;184,5;1,09;16,4
E05;40;189,5;1,39;22,6
E05;45;194,5;1,7;30,3
E05;50;199,5;1,95;39,4
E05;55;204,5;2,21;49,8
E05;60;209,5;2,53;61,5
E05;65;214,5;2,92;75,1
E05;70;219,5;3,31;90,6
E05;75;224,5;3,75;108,3
E05;80;229,5;4,15;128,0
E05;85;234,5;4,55;149,9
E05;90;239,5;4,88;173,4
E05;95;244,5;5,23;198,7
E05;100;249,5;5,53;225,6
E05;105;254,5;6,6;255,6
E05;110;259,5;6,98;289,5
E05;115;264,5;7,5;325,7
E05;120;269,5;8,11;364,7
