alternativa;n_eixos;eixos;area_controlada_km2;V_max_hm3;V_espera_hm3;V_util_hm3;area_alagada_km2;Ef_MWmed;Ef_sem_espera;P_MW;custo_MRS;ICB_RS_MWh
ALT-5 — E12 isolado (cascata critica);1;E12;15760,0;976,0;488,0;299,0;35,6;68,4;96,0;124,3;722;103,6
ALT-7 — E08 + E02 + E04;3;E08+E02+E04;23039,0;4208,0;2104,0;1247,0;88,6;193,6;271,3;352,0;5731;281,4
ALT-6 — E02 + E04 + E12;3;E02+E04+E12;26848,0;4565,0;2282,0;1375,0;108,6;181,3;253,9;329,6;5575;292,1
ALT-2 — E04 isolado (sem interferencia);1;E04;7498,0;2211,0;1105,0;626,0;42,3;74,3;105,5;135,1;2642;336,9
ALT-4 — E02 + E04 + E01;3;E02+E04+E01;13638,0;3760,0;1880,0;1129,0;79,6;126,3;175,9;229,6;5220;390,8
ALT-3 — E02 + E04 (ambos livres de interferencia);2;E02+E04;11089,0;3588,0;1794,0;1076,0;73,1;112,9;157,9;205,3;4853;406,3
ALT-1 — E02 isolado (sem interferencia);1;E02;3591,0;1377,0;689,0;450,0;30,8;38,6;52,4;70,2;2211;539,7
