dist_km;cota_bruta_m;area_km2;cota_m;x_utm;y_utm
27,648292010596318;711,5;747,1735229492188;710,3225806451613;570428,8449693467;6798646,165346128
27,676929053797522;711,5;747,1751098632812;710,1935483870968;570428,8449693467;6798674,802389329
27,705566096998727;711,5;747,2021484375;710,0645161290323;570428,8449693467;6798703,439432531
27,74606460349387;711,5;747,2103881835938;709,9354838709677;570400,2079261455;6798732,076475731
27,78656310998901;711,0;747,226806640625;709,8064516129032;570371,5708829443;6798760,713518932
27,827061616484155;711,0;747,24560546875;709,6774193548387;570342,933839743;6798789,350562134
27,8675601229793;710,5;747,26123046875;709,5645161290323;570314,2967965419;6798817,987605335
27,908058629474443;710,5;747,28173828125;709,4354838709677;570285,6597533406;6798846,624648537
27,936695672675647;710,5;747,290771484375;709,3064516129032;570285,6597533406;6798875,261691738
27,97719417917079;710,0;747,316162109375;709,1774193548387;570257,0227101394;6798903,898734938
28,005831222371995;710,0;747,3194580078125;709,0645161290323;570257,0227101394;6798932,53577814
28,0344682655732;710,0;747,3276977539062;708,9516129032259;570257,0227101394;6798961,172821341
28,063105308774404;710,0;747,3424072265625;708,8548387096774;570257,0227101394;6798989,809864542
28,103603815269548;710,0;747,4900512695312;708,758064516129;570228,3856669383;6799018,446907744
28,13224085847075;710,0;748,0993041992188;708,6451612903226;570228,3856669383;6799047,083950945
28,172739364965896;709,5;748,1173706054688;708,5483870967741;570199,748623737;6799075,720994146
28,2013764081671;709,5;748,119873046875;708,4516129032259;570199,748623737;6799104,358037347
28,230013451368304;709,5;748,1214599609375;708,3548387096774;570199,748623737;6799132,995080548
28,25865049456951;709,5;748,1583862304688;708,241935483871;570199,748623737;6799161,63212375
28,299149001064652;709,0;748,1829833984375;708,1290322580645;570171,1115805358;6799190,269166951
28,327786044265856;709,0;748,2010498046875;708,016129032258;570171,1115805358;6799218,906210152
28,368284550761;709,0;748,2141723632812;707,9193548387096;570142,4745373346;6799247,543253353
28,408783057256144;709,0;748,4495239257812;707,8064516129032;570113,8374941334;6799276,180296554
28,43742010045735;708,5;748,4544677734375;707,6935483870968;570113,8374941334;6799304,817339756
28,466057143658553;708,5;748,4601440429688;707,5806451612904;570113,8374941334;6799333,454382957
28,506555650153697;708,5;748,5011596679688;707,483870967742;570085,2004509321;6799362,091426158
28,5351926933549;708,5;749,335205078125;707,3870967741935;570085,2004509321;6799390,72846936
28,575691199850045;708,5;749,4098510742188;707,2741935483871;570056,563407731;6799419,36551256
28,616189706345185;708,0;749,4197387695312;707,1612903225806;570027,9263645298;6799448,0025557615
28,644826749546393;708,0;749,4320068359375;707,0645161290323;570027,9263645298;6799476,639598963
28,685325256041533;708,0;749,4541625976562;706,9677419354839;569999,2893213286;6799505,276642164
28,713962299242738;708,0;749,4639892578125;706,8548387096774;569999,2893213286;6799533,913685366
28,75446080573788;707,5;749,5328369140625;706,741935483871;569970,6522781274;6799562,550728566
28,794959312233026;707,5;749,6287841796875;706,6290322580645;569942,0152349262;6799591,187771767
28,82359635543423;707,5;749,6337280273438;706,5322580645161;569942,0152349262;6799619,824814969
28,852233398635434;707,5;749,6419067382812;706,4354838709677;569942,0152349262;6799648,46185817
28,880870441836638;707,5;749,6583251953125;706,3387096774194;569942,0152349262;6799677,0989013715
28,921368948331782;707,5;749,7887573242188;706,2258064516129;569913,378191725;6799705,735944573
28,950005991532986;707,5;749,8051147460938;706,1290322580645;569913,378191725;6799734,372987773
28,99050449802813;707,0;749,821533203125;706,0322580645161;569884,7411485238;6799763,010030975
29,019141541229335;707,0;749,8330078125;705,9354838709677;569884,7411485238;6799791,647074176
29,05964004772448;707,0;749,8682861328125;705,8225806451613;569856,1041053226;6799820,284117377
29,088277090925683;707,0;749,8707275390625;705,7096774193549;569856,1041053226;6799848,921160579
29,116914134126887;706,5;749,8748168945312;705,5967741935484;569856,1041053226;6799877,55820378
29,15741264062203;706,5;749,8846435546875;705,483870967742;569827,4670621214;6799906,1952469805
29,186049683823235;706,5;749,8904418945312;705,3870967741935;569827,4670621214;6799934,832290182
29,21468672702444;706,5;749,9085083007812;705,2741935483871;569827,4670621214;6799963,469333383
29,255185233519583;706,0;749,9511108398438;705,1612903225806;569798,8300189201;6799992,106376585
29,283822276720787;706,0;749,9601440429688;705,0483870967741;569798,8300189201;6800020,743419786
29,31245931992199;706,0;749,9617309570312;704,9516129032259;569798,8300189201;6800049,380462987
29,341096363123196;706,0;749,9732666015625;704,8548387096774;569798,8300189201;6800078,017506188
29,38159486961834;706,0;750,0027465820312;704,741935483871;569770,192975719;6800106,654549389
29,410231912819544;705,5;750,0371704101562;704,6290322580645;569770,192975719;6800135,2915925905
29,450730419314688;705,5;750,05029296875;704,5322580645161;569741,5559325177;6800163,928635792
29,479367462515892;705,5;750,0527954101562;704,4354838709677;569741,5559325177;6800192,565678993
29,519865969011036;705,5;750,0790405273438;704,3225806451613;569712,9188893165;6800221,202722195
29,56036447550618;705,0;750,0946044921875;704,2096774193549;569684,2818461154;6800249,839765395
29,589001518707384;705,0;750,1110229492188;704,0967741935484;569684,2818461154;6800278,476808596
29,61763856190859;705,0;750,1126098632812;704,0;569684,2818461154;6800307,113851798
29,646275605109793;705,0;750,1151123046875;703,8870967741935;569684,2818461154;6800335,750894999
29,686774111604937;705,0;751,7462158203125;703,7741935483871;569655,6448029141;6800364,3879382005
29,71541115480614;705,0;751,7503662109375;703,6612903225806;569655,6448029141;6800393,024981402
29,744048198007345;704,5;751,7528076171875;703,5483870967741;569655,6448029141;6800421,662024602
29,77268524120855;704,5;752,3777465820312;703,4354838709677;569655,6448029141;6800450,299067804
29,801322284409753;704,5;752,3801879882812;703,3225806451613;569655,6448029141;6800478,936111005
29,829959327610958;704,5;752,3834228515625;703,2096774193549;569655,6448029141;6800507,573154206
29,858596370812162;704,0;753,9596557617188;703,0967741935484;569655,6448029141;6800536,210197408
29,88723341401337;704,0;753,9620971679688;702,9677419354839;569655,6448029141;6800564,847240608
29,92773192050851;704,0;753,97607421875;702,8548387096774;569684,2818461154;6800593,48428381
