codigo;nome;area_ANA_km2;area_D8_km2;area_BHO_km2;dif_D8_vs_ANA_pct;dif_BHO_vs_ANA_pct;deslocamento_snap_m;dist_BHO_m
86510000;MUCUM;16000,0;15880,8;18460,2;-0,75;15,38;550,0;148,0
86879300;ESTRELA;22472,0;23029,1;23181,4;2,48;3,16;438,0;165,0
86720000;ENCANTADO;19100,0;18961,7;19055,6;-0,72;-0,23;433,0;127,0
