id_secao;estaca_ras_m;dist_montante_km;x;y;cota_talvegue_m;sub_trecho;largura_secao_m;x_esq;y_esq;x_dir;y_dir
S070;10302,2;29,1;405345,12165614095;6738137,16089499;14,0;detalhado (LiDAR);3000,0;406749,57030789455;6737610,355442676;403940,67300438735;6738663,966347304
S071;10102,2;29,3;405274,8809291655;6737949,901074756;14,0;detalhado (LiDAR);3000,0;406679,32958091854;6737423,095622441;403870,4322774125;6738476,706527071
S072;9902,2;29,5;405236,8358796633;6737758,351228954;14,0;detalhado (LiDAR);3000,0;406730,22502098023;6737899,024156686;403743,44673834636;6737617,678301223
S073;9702,2;29,7;405255,5922700273;6737559,232676779;14,0;detalhado (LiDAR);3000,0;406748,98141134426;6737699,905604511;403762,2031287104;6737418,559749047
S074;9502,2;29,9;405307,429178813;6737373,755692029;14,0;detalhado (LiDAR);3000,0;406465,88449344557;6738326,636211297;404148,97386418044;6736420,875172762
S075;9302,2;30,1;405434,4799147157;6737219,294983411;14,0;detalhado (LiDAR);3000,0;406592,93522933696;6738172,175502692;404276,0246000944;6736266,41446413
S076;9102,2;30,3;405561,53065061837;6737064,834274794;14,0;detalhado (LiDAR);3000,0;406719,98596525093;6738017,714794061;404403,0753359858;6736111,953755527
S077;8902,2;30,5;405695,5107873858;6736916,949565801;14,0;detalhado (LiDAR);3000,0;406707,6733083781;6738023,984809638;404683,3482663935;6735809,914321964
S078;8702,2;30,7;405843,1154865647;6736781,994563002;14,0;detalhado (LiDAR);3000,0;406855,27800755785;6737889,029806839;404830,95296557155;6735674,959319165
S079;8502,2;30,9;405990,7201857435;6736647,039560203;14,0;detalhado (LiDAR);3000,0;407002,8827067206;6737754,074804055;404978,55766476644;6735540,004316352
S080;8302,2;31,1;406014,1591405788;6736483,842034683;14,0;detalhado (LiDAR);3000,0;407405,5756746366;6735923,520672649;404622,74260652106;6737044,163396716
S081;8102,2;31,3;405939,44962564117;6736298,319830142;14,0;detalhado (LiDAR);3000,0;407330,86615969834;6735737,998468108;404548,033091584;6736858,641192176
S082;7902,2;31,5;405864,74011070345;6736112,7976256;14,0;detalhado (LiDAR);3000,0;407256,1566447612;6735552,476263567;404473,3235766457;6736673,118987634
S083;7702,2;31,7;405758,68341034325;6735947,587938761;14,0;detalhado (LiDAR);3000,0;406838,5888845199;6734906,528782496;404678,7779361666;6736988,647095026
S084;7502,2;31,9;405619,8755228411;6735803,600542204;14,0;detalhado (LiDAR);3000,0;406699,78099701775;6734762,541385939;404539,9700486645;6736844,65969847
S085;7302,2;32,1;405481,06763533904;6735659,613145648;13,5;detalhado (LiDAR);3000,0;406560,9731095148;6734618,5539893815;404401,1621611633;6736700,672301914
S086;7102,2;32,3;405342,2597478369;6735515,625749091;13,5;detalhado (LiDAR);3000,0;406422,16522201267;6734474,566592825;404262,35427366116;6736556,684905357
S087;6902,2;32,5;405203,4518603348;6735371,638352534;13,5;detalhado (LiDAR);3000,0;406283,3573345114;6734330,579196269;404123,54638615815;6736412,697508799
S088;6702,2;32,7;405079,3290323388;6735215,630050853;13,5;detalhado (LiDAR);3000,0;406313,2085227384;6734362,669674768;403845,4495419392;6736068,590426938
S089;6502,2;32,9;404965,60098219384;6735051,112785466;13,5;estendido;4000,0;406610,7736360589;6733913,8322840175;403320,42832832877;6736188,393286915
S090;6002,2;33,4;404878,45853475877;6734627,929297298;13,5;estendido;4000,0;406648,37447230937;6735559,271111029;403108,5425972082;6733696,587483567
S091;5502,2;33,9;405111,29398819257;6734185,450312911;13,5;estendido;4000,0;406881,20992574317;6735116,792126642;403341,378050642;6733254,10849918
S092;5002,2;34,4;405300,61221938115;6733724,328483846;13,5;estendido;4000,0;407195,8473062438;6734363,142983936;403405,3771325185;6733085,513983756
S093;4502,2;34,9;405460,3158444035;6733250,519712131;13,5;estendido;4000,0;407355,55093126616;6733889,33421222;403565,0807575409;6732611,705212041
S094;4002,2;35,4;405516,2702727242;6732755,524011116;13,5;estendido;4000,0;407510,2232153204;6732910,9320633905;403522,31733012805;6732600,115958841
S095;3502,2;35,9;405452,7775871694;6732264,665425404;13,5;estendido;4000,0;407401,64744685777;6731815,325609677;403503,907727481;6732714,005241131
S096;3002,2;36,4;405340,4426332373;6731777,447960482;13,5;estendido;4000,0;407289,3124929257;6731328,108144755;403391,5727735489;6732226,787776209
S097;2502,2;36,9;405232,5770286303;6731289,2345801275;13,5;estendido;4000,0;407187,84476796875;6730868,606398116;403277,30928929185;6731709,862762139
S098;2002,2;37,4;405127,4199831276;6730800,417645293;13,5;estendido;4000,0;407082,6877224661;6730379,789463282;403172,15224378917;6731221,045827305
S099;1502,2;37,9;405003,8761832271;6730316,905200601;13,710000038146973;estendido;4000,0;406882,73038664146;6729631,407656978;403125,02197981277;6731002,402744223
S100;1002,2;38,4;404832,5017973214;6729847,191649747;13,5;estendido;4000,0;406711,356000735;6729161,6941061225;402953,64759390784;6730532,689193372
S101;502,2;38,9;404661,1274114157;6729377,478098894;13,5;estendido;4000,0;406539,9816148293;6728691,980555269;402782,2732080021;6730062,975642518
S102;2,2;39,4;404487,5219301399;6728908,605226098;13,5;estendido;4000,0;406351,5573432908;6728183,779744675;402623,486516989;6729633,43070752
